id,code,name,sequence,have_main_carriage
service_mode_c2f,C2F,CFS to Factory,1,0
service_mode_c2p,C2P,CFS to Port,2,0
service_mode_d2d,D2D,Door to Door,3,1
service_mode_d2p,D2P,Door to Port,4,0
service_mode_f2c,F2C,Factory to CFS,5,0
service_mode_f2f,F2F,Factory to Factory,6,0
service_mode_inland,Inland,Inland,7,0
service_mode_outerland,Outerland,Service outerland,8,0
service_mode_p2d,P2D,Port to Door,9,0
service_mode_p2p,P2P,Port to Port,10,0
service_mode_wh,WH,Warehouse,11,0
service_mode_cl,CLR,Clearance,12,0
