id,name
haz_class_code_class_1,"Class 1: Explosives"
haz_class_code_class_2,"Class 2: Flammable gases"
haz_class_code_class_3,"Class 3: Flammable liquids"
haz_class_code_class_4,"Class 4: Flammable solids"
haz_class_code_class_5,"Class 5: Oxidizing substances"
haz_class_code_class_6,"Class 6: Substances toxic to people"
haz_class_code_class_7,"Class 7: Radioactive materials"
haz_class_code_class_8,"Class 8: Corrosive substances"
haz_class_code_class_9,"Class 9: Substances toxic to the environment"
